8,I'm gonna get you!,Kelly Cosmo,3,4,7,9,-,4,7,11,-
8,JANEJANA,T.E.M.P.O. feat.Mohammed & Emi,3,4,7,10,-,6,7,11,-
8,JET WORLD,Mutsuhiko Izumi,3,4,7,11,-,5,8,11,-
8,KISS KISS KISS,NAOKI feat. SHANTI,4,5,6,12,-,5,8,12,-
8,KISS ME ALL NIGHT LONG,NAOKI J-STYLE feat.MIU,3,3,6,10,-,3,6,11,-
8,L'amour et la liberté(DDR Ver.),NAOKI underground,3,6,9,12,-,6,9,12,-
8,LA BAMBA,メキシコ民謡,3,4,8,11,-,4,8,10,-
8,♥Love²シュガ→♥,dj TAKA feat.のりあ,3,4,6,8,-,4,7,8,-
8,LOVE♥SHINE,小坂りゆ,3,5,6,9,-,5,7,11,-
8,Miracle Moon ～L.E.D. LIGHT STYLE MIX～,Togo Project feat. Sana,3,4,6,9,-,3,6,10,-
8,PARANOIA survivor,270,4,9,11,15,-,9,10,15,-
8,PARANOIA survivor MAX,290,5,9,11,15,16,9,11,15,16
8,Pink Rose,Kiyommy+Seiya,3,4,6,10,-,4,7,10,-
8,SO IN LOVE,Caramel.S,3,4,7,9,-,2,7,9,-
8,STAY (Organic house Version),emi,3,4,7,9,-,5,7,9,-
8,stoic (EXTREME version),TaQ,3,5,9,13,-,4,10,12,-
8,sync (EXTREME version),OutPhase,3,5,8,9,12,6,9,10,11
8,TEARS,NAOKI underground feat.EK,3,6,8,12,-,6,8,12,-
8,The Least 100sec,Hirofumi Sasaki,5,7,11,12,-,7,10,14,-
8,The legend of MAX,ZZ,7,8,13,15,-,8,12,16,-
8,TRIP MACHINE Survivor,DE-SIRE,4,5,11,13,-,6,11,12,-
8,Twin Bee -Generation X-,FinalOffset,3,5,8,11,-,4,7,11,-
8,V ～for EXTREME～,TAKA,3,5,8,12,13,5,7,11,13
8,VANITY ANGEL,FIXX,3,4,9,12,-,5,9,12,-
8,xenon,Mr.T,3,5,10,13,-,5,9,13,-
8,1998,NAOKI,4,4,6,10,-,4,6,10,-
8,321STARS,DJ SIMON,4,5,9,11,-,4,7,11,-
9,怒れる大きな白い馬,Morning Blue Dragon,4,5,8,11,-,3,7,11,-
9,カゲロウ,Des-ROW・組スペシアルr,3,4,7,9,-,4,6,9,-
9,月光蝶,あさき,4,4,7,10,-,3,7,11,-
9,この子の七つのお祝いに,あさき,3,7,10,14,-,7,10,14,-
9,男々道,Des-ROW・組,3,4,7,12,-,4,8,10,-
9,チカラ,BeForU,4,5,8,10,-,4,9,13,-
9,虹色,DJ YOSHITAKA feat G.S.C. license,3,4,8,11,13,4,7,13,13
9,華爛漫 -Flowers-,TЁЯRA,3,5,7,11,-,4,7,11,-
9,ヒマワリ,RIYU from BeForU,3,4,7,10,-,4,7,12,-
9,夢幻ノ光,TЁЯRA,4,4,8,11,-,4,8,11,-
9,A Stupid Barber,Sho-T,3,4,8,9,-,4,8,9,-
9,AA,D.J.Amuro,3,5,9,13,-,5,10,13,-
9,BAD ROUTINE,D.J. Spugna,3,5,7,9,-,4,8,9,-
9,Baile Le Samba,Big Idea,1,3,10,11,-,3,6,10,-
9,BALLAD FOR YOU～想いの雨～,NM feat. THOMAS HOWARD,2,5,9,11,-,4,9,11,-
9,Brazilian Anthem,Berimbau '66,3,5,8,12,-,5,8,10,-
9,cachaca,Mokky de Yah Yah's,1,3,7,12,-,4,9,11,-
9,Can Be Real,Vision F,3,4,6,10,-,3,6,10,-
9,CAN'T STOP FALLIN' IN LOVE -super euro version-,NAOKI with Y&Co.,3,4,7,8,-,1,5,8,-
9,CENTAUR,Jimmy Weckl,4,6,9,12,-,6,9,12,-
9,CHAOS,DE-SIRE retunes,6,8,12,14,16,9,12,14,15
9,CURUS,D-crew,2,3,7,10,-,4,5,12,-
9,DoLL,TЁЯRA,4,5,8,12,13,5,8,12,14
9,Dragon Blade,Kozo Nakamura,5,9,10,11,-,9,11,11,-
9,Fascination ～eternal love mix～,2MB,9,11,13,16,18,10,13,17,17
9,Fascination MAXX,100-200-400,6,11,13,17,18,10,13,17,18
9,Flow,Scotty D. revisits U1,4,5,9,12,-,6,9,11,-
9,Flow (True Style),Scotty D. revisits U1,4,6,9,12,13,6,9,12,13
9,Fly away,ChiyoTia,3,4,7,11,-,3,8,11,-
9,Forever Sunshine,Chel.Y,3,4,7,8,-,3,6,8,-
9,Freedom,BeForU,3,5,7,11,-,4,7,11,-
9,Funk Boogie,Funk Kid feat. KOOL BOYS,4,5,4,8,-,4,6,8,-
9,GORGEOUS 2012,THE SURRENDERS,4,3,8,10,-,5,7,11,-
9,HAPPY☆ANGEL,jun with TAHIRIH,4,4,8,12,-,3,8,11,-
9,Healing-D-Vision,DE-STRAD,6,9,12,14,18,9,13,15,18
9,I Need You,Supa Fova feat. Jenny F.,3,4,6,8,-,5,6,8,-
9,iFUTURELIST(DDR VERSION),AKIRA YAMAOKA,3,5,7,12,13,5,7,11,13
9,INNOCENCE OF SILENCE,nc ft. NRG Factory,3,5,10,12,-,5,9,12,-
9,INSIDE YOUR HEART,AKIRA YAMAOKA,3,4,6,9,-,3,6,9,-
9,Jam&Marmalade,FinalOffset,3,4,8,11,-,5,8,10,-
9,KEEP ON MOVIN'～DMX Mix～,N.M.R-typeG,3,5,7,11,-,4,8,12,-
9,La Bamba,LH MUSIC CREATION,3,5,8,11,-,6,8,12,-
9,LOGICAL DASH,dj TAKA,3,4,7,11,-,5,6,10,-
9,LOVE IS ORANGE,Orange Lounge,3,5,7,9,11,5,8,8,12
9,Make A Difference,Lala Moore with CoCoRo*Co,3,5,7,12,-,5,8,12,-
9,MARIA(I believe...),NAOKI feat. PAULA TERRY,3,5,8,11,-,5,9,12,-
9,MAX 300 (Super-Max-Me Mix),Jondi & Spesh,6,10,13,15,16,9,12,15,17
9,MAXIMIZER,CLI-MAX S.,5,6,9,12,-,6,9,11,-
9,Midnight Special,Love machineguns,3,7,9,10,-,7,10,12,-
9,Mind Parasite,TOMOSUKE,3,5,9,13,-,5,8,10,-
9,Monkey Punk,Big Idea,4,5,8,10,-,5,8,10,-
9,MOON,dj TAKA feat.Erika,3,3,7,11,-,1,8,10,-
9,murmur twins,yu_tokiwa.djw,3,4,8,11,-,3,8,11,-
9,My Only Shining Star,NAOKI feat.Becky Lucinda,3,4,7,9,-,3,7,11,-
9,No.13,TAKA respect for J.S.B.,4,5,9,13,-,5,9,12,-
9,PARANOiA-Respect-,.3k,5,11,12,16,-,8,12,15,-
9,PASSION OF LOVE,NAOKI feat. PAULA TERRY,4,5,7,10,-,6,8,10,-
9,Polovtsian Dances And Chorus,Naoto Suzuki feat. Martha,3,4,9,11,-,5,9,11,-
